Fradato;Tildato;Forbrug i kroner
01-05-2023 00:00;01-05-2023 01:00;0,19 kr.
01-05-2023 01:00;01-05-2023 02:00;0,17 kr.
01-05-2023 02:00;01-05-2023 03:00;0,20 kr.
01-05-2023 03:00;01-05-2023 04:00;0,12 kr.
01-05-2023 04:00;01-05-2023 05:00;0,09 kr.
01-05-2023 05:00;01-05-2023 06:00;0,11 kr.
01-05-2023 06:00;01-05-2023 07:00;0,21 kr.
01-05-2023 07:00;01-05-2023 08:00;0,26 kr.
01-05-2023 08:00;01-05-2023 09:00;0,28 kr.
01-05-2023 09:00;01-05-2023 10:00;0,86 kr.
01-05-2023 10:00;01-05-2023 11:00;0,37 kr.
01-05-2023 11:00;01-05-2023 12:00;0,54 kr.
01-05-2023 12:00;01-05-2023 13:00;0,15 kr.
01-05-2023 13:00;01-05-2023 14:00;0,16 kr.
01-05-2023 14:00;01-05-2023 15:00;0,25 kr.
01-05-2023 15:00;01-05-2023 16:00;0,20 kr.
01-05-2023 16:00;01-05-2023 17:00;0,23 kr.
01-05-2023 17:00;01-05-2023 18:00;0,50 kr.
01-05-2023 18:00;01-05-2023 19:00;0,54 kr.
01-05-2023 19:00;01-05-2023 20:00;0,65 kr.
01-05-2023 20:00;01-05-2023 21:00;0,48 kr.
01-05-2023 21:00;01-05-2023 22:00;1,56 kr.
01-05-2023 22:00;01-05-2023 23:00;0,37 kr.
01-05-2023 23:00;02-05-2023 00:00;0,21 kr.
02-05-2023 00:00;02-05-2023 01:00;0,18 kr.
02-05-2023 01:00;02-05-2023 02:00;0,14 kr.
02-05-2023 02:00;02-05-2023 03:00;0,18 kr.
02-05-2023 03:00;02-05-2023 04:00;0,12 kr.
02-05-2023 04:00;02-05-2023 05:00;0,12 kr.
02-05-2023 05:00;02-05-2023 06:00;0,12 kr.
02-05-2023 06:00;02-05-2023 07:00;0,25 kr.
02-05-2023 07:00;02-05-2023 08:00;1,59 kr.
02-05-2023 08:00;02-05-2023 09:00;2,39 kr.
02-05-2023 09:00;02-05-2023 10:00;0,82 kr.
02-05-2023 10:00;02-05-2023 11:00;0,45 kr.
02-05-2023 11:00;02-05-2023 12:00;0,31 kr.
02-05-2023 12:00;02-05-2023 13:00;0,32 kr.
02-05-2023 13:00;02-05-2023 14:00;0,23 kr.
02-05-2023 14:00;02-05-2023 15:00;0,30 kr.
02-05-2023 15:00;02-05-2023 16:00;0,55 kr.
02-05-2023 16:00;02-05-2023 17:00;0,35 kr.
02-05-2023 17:00;02-05-2023 18:00;0,51 kr.
02-05-2023 18:00;02-05-2023 19:00;0,48 kr.
02-05-2023 19:00;02-05-2023 20:00;0,67 kr.
02-05-2023 20:00;02-05-2023 21:00;3,52 kr.
02-05-2023 21:00;02-05-2023 22:00;1,97 kr.
02-05-2023 22:00;02-05-2023 23:00;0,54 kr.
02-05-2023 23:00;03-05-2023 00:00;1,20 kr.
03-05-2023 00:00;03-05-2023 01:00;0,27 kr.
03-05-2023 01:00;03-05-2023 02:00;0,07 kr.
03-05-2023 02:00;03-05-2023 03:00;0,07 kr.
03-05-2023 03:00;03-05-2023 04:00;0,09 kr.
03-05-2023 04:00;03-05-2023 05:00;0,10 kr.
