"Fradato";"Tildato";"Forbrug i kWh"
"=""01-05-2023 00:00""";"=""01-05-2023 01:00""";"0,13"
"=""01-05-2023 01:00""";"=""01-05-2023 02:00""";"0,14"
"=""01-05-2023 02:00""";"=""01-05-2023 03:00""";"0,17"
"=""01-05-2023 03:00""";"=""01-05-2023 04:00""";"0,10"
"=""01-05-2023 04:00""";"=""01-05-2023 05:00""";"0,08"
"=""01-05-2023 05:00""";"=""01-05-2023 06:00""";"0,09"
"=""01-05-2023 06:00""";"=""01-05-2023 07:00""";"0,17"
"=""01-05-2023 07:00""";"=""01-05-2023 08:00""";"0,21"
"=""01-05-2023 08:00""";"=""01-05-2023 09:00""";"0,23"
"=""01-05-2023 09:00""";"=""01-05-2023 10:00""";"0,83"
"=""01-05-2023 10:00""";"=""01-05-2023 11:00""";"0,36"
"=""01-05-2023 11:00""";"=""01-05-2023 12:00""";"0,55"
"=""01-05-2023 12:00""";"=""01-05-2023 13:00""";"0,16"
"=""01-05-2023 13:00""";"=""01-05-2023 14:00""";"0,18"
"=""01-05-2023 14:00""";"=""01-05-2023 15:00""";"0,30"
"=""01-05-2023 15:00""";"=""01-05-2023 16:00""";"0,21"
"=""01-05-2023 16:00""";"=""01-05-2023 17:00""";"0,22"
"=""01-05-2023 17:00""";"=""01-05-2023 18:00""";"0,26"
"=""01-05-2023 18:00""";"=""01-05-2023 19:00""";"0,26"
"=""01-05-2023 19:00""";"=""01-05-2023 20:00""";"0,30"
"=""01-05-2023 20:00""";"=""01-05-2023 21:00""";"0,22"
"=""01-05-2023 21:00""";"=""01-05-2023 22:00""";"0,92"
"=""01-05-2023 22:00""";"=""01-05-2023 23:00""";"0,22"
"=""01-05-2023 23:00""";"=""02-05-2023 00:00""";"0,16"
"=""02-05-2023 00:00""";"=""02-05-2023 01:00""";"0,14"
"=""02-05-2023 01:00""";"=""02-05-2023 02:00""";"0,13"
"=""02-05-2023 02:00""";"=""02-05-2023 03:00""";"0,17"
"=""02-05-2023 03:00""";"=""02-05-2023 04:00""";"0,12"
"=""02-05-2023 04:00""";"=""02-05-2023 05:00""";"0,12"
"=""02-05-2023 05:00""";"=""02-05-2023 06:00""";"0,11"
"=""02-05-2023 06:00""";"=""02-05-2023 07:00""";"0,17"
"=""02-05-2023 07:00""";"=""02-05-2023 08:00""";"0,93"
"=""02-05-2023 08:00""";"=""02-05-2023 09:00""";"1,34"
"=""02-05-2023 09:00""";"=""02-05-2023 10:00""";"0,49"
"=""02-05-2023 10:00""";"=""02-05-2023 11:00""";"0,28"
"=""02-05-2023 11:00""";"=""02-05-2023 12:00""";"0,20"
"=""02-05-2023 12:00""";"=""02-05-2023 13:00""";"0,22"
"=""02-05-2023 13:00""";"=""02-05-2023 14:00""";"0,16"
"=""02-05-2023 14:00""";"=""02-05-2023 15:00""";"0,22"
