"Fradato";"Tildato";"Forbrug i kroner"
"=""01-10-2023 00:00""";"=""01-10-2023 01:00""";"1,87 kr."
"=""01-10-2023 01:00""";"=""01-10-2023 02:00""";"0,61 kr."
"=""01-10-2023 02:00""";"=""01-10-2023 03:00""";"1,25 kr."
"=""01-10-2023 03:00""";"=""01-10-2023 04:00""";"0,25 kr."
"=""01-10-2023 04:00""";"=""01-10-2023 05:00""";"0,25 kr."
"=""01-10-2023 05:00""";"=""01-10-2023 06:00""";"0,23 kr."
"=""01-10-2023 06:00""";"=""01-10-2023 07:00""";"0,26 kr."
"=""01-10-2023 07:00""";"=""01-10-2023 08:00""";"0,31 kr."
"=""01-10-2023 08:00""";"=""01-10-2023 09:00""";"0,24 kr."
"=""01-10-2023 09:00""";"=""01-10-2023 10:00""";"0,26 kr."
"=""01-10-2023 10:00""";"=""01-10-2023 11:00""";"0,49 kr."
"=""01-10-2023 11:00""";"=""01-10-2023 12:00""";"0,27 kr."
"=""01-10-2023 12:00""";"=""01-10-2023 13:00""";"1,23 kr."
"=""01-10-2023 13:00""";"=""01-10-2023 14:00""";"0,63 kr."
"=""01-10-2023 14:00""";"=""01-10-2023 15:00""";"0,41 kr."
"=""01-10-2023 15:00""";"=""01-10-2023 16:00""";"0,32 kr."
"=""01-10-2023 16:00""";"=""01-10-2023 17:00""";"0,46 kr."
"=""01-10-2023 17:00""";"=""01-10-2023 18:00""";"0,65 kr."
"=""01-10-2023 18:00""";"=""01-10-2023 19:00""";"1,38 kr."
"=""01-10-2023 19:00""";"=""01-10-2023 20:00""";"0,93 kr."
"=""01-10-2023 20:00""";"=""01-10-2023 21:00""";"0,97 kr."
"=""01-10-2023 21:00""";"=""01-10-2023 22:00""";"0,67 kr."
"=""01-10-2023 22:00""";"=""01-10-2023 23:00""";"0,67 kr."
"=""01-10-2023 23:00""";"=""02-10-2023 00:00""";"0,51 kr."
"=""02-10-2023 00:00""";"=""02-10-2023 01:00""";"0,28 kr."
"=""02-10-2023 01:00""";"=""02-10-2023 02:00""";"0,22 kr."
"=""02-10-2023 02:00""";"=""02-10-2023 03:00""";"22,20 kr."
"=""02-10-2023 03:00""";"=""02-10-2023 04:00""";"23,53 kr."
"=""02-10-2023 04:00""";"=""02-10-2023 05:00""";"24,02 kr."
"=""02-10-2023 05:00""";"=""02-10-2023 06:00""";"24,35 kr."
"=""02-10-2023 06:00""";"=""02-10-2023 07:00""";"9,84 kr."
"=""02-10-2023 07:00""";"=""02-10-2023 08:00""";"8,81 kr."
"=""02-10-2023 08:00""";"=""02-10-2023 09:00""";"18,77 kr."
"=""02-10-2023 09:00""";"=""02-10-2023 10:00""";"19,80 kr."
"=""02-10-2023 10:00""";"=""02-10-2023 11:00""";"0,31 kr."
"=""02-10-2023 11:00""";"=""02-10-2023 12:00""";"0,32 kr."
"=""02-10-2023 12:00""";"=""02-10-2023 13:00""";"0,32 kr."
"=""02-10-2023 13:00""";"=""02-10-2023 14:00""";"0,29 kr."
"=""02-10-2023 14:00""";"=""02-10-2023 15:00""";"0,27 kr."
"=""02-10-2023 15:00""";"=""02-10-2023 16:00""";"0,32 kr."
"=""02-10-2023 16:00""";"=""02-10-2023 17:00""";"0,36 kr."
"=""02-10-2023 17:00""";"=""02-10-2023 18:00""";"0,45 kr."
"=""02-10-2023 18:00""";"=""02-10-2023 19:00""";"2,41 kr."
"=""02-10-2023 19:00""";"=""02-10-2023 20:00""";"7,91 kr."
"=""02-10-2023 20:00""";"=""02-10-2023 21:00""";"1,00 kr."
"=""02-10-2023 21:00""";"=""02-10-2023 22:00""";"0,49 kr."
"=""02-10-2023 22:00""";"=""02-10-2023 23:00""";"0,65 kr."
"=""02-10-2023 23:00""";"=""03-10-2023 00:00""";"0,33 kr."
"=""03-10-2023 00:00""";"=""03-10-2023 01:00""";"0,29 kr."
"=""03-10-2023 01:00""";"=""03-10-2023 02:00""";"0,30 kr."
"=""03-10-2023 02:00""";"=""03-10-2023 03:00""";"0,35 kr."
"=""03-10-2023 03:00""";"=""03-10-2023 04:00""";"0,17 kr."
"=""03-10-2023 04:00""";"=""03-10-2023 05:00""";"0,15 kr."
"=""03-10-2023 05:00""";"=""03-10-2023 06:00""";"0,16 kr."
"=""03-10-2023 06:00""";"=""03-10-2023 07:00""";"0,33 kr."
"=""03-10-2023 07:00""";"=""03-10-2023 08:00""";"0,35 kr."
"=""03-10-2023 08:00""";"=""03-10-2023 09:00""";"0,26 kr."
"=""03-10-2023 09:00""";"=""03-10-2023 10:00""";"0,28 kr."
"=""03-10-2023 10:00""";"=""03-10-2023 11:00""";"0,31 kr."
"=""03-10-2023 11:00""";"=""03-10-2023 12:00""";"0,33 kr."
"=""03-10-2023 12:00""";"=""03-10-2023 13:00""";"0,28 kr."
"=""03-10-2023 13:00""";"=""03-10-2023 14:00""";"0,76 kr."
"=""03-10-2023 14:00""";"=""03-10-2023 15:00""";"1,88 kr."
"=""03-10-2023 15:00""";"=""03-10-2023 16:00""";"1,07 kr."
"=""03-10-2023 16:00""";"=""03-10-2023 17:00""";"0,26 kr."
"=""03-10-2023 17:00""";"=""03-10-2023 18:00""";"0,33 kr."
"=""03-10-2023 18:00""";"=""03-10-2023 19:00""";"0,40 kr."
"=""03-10-2023 19:00""";"=""03-10-2023 20:00""";"0,45 kr."
"=""03-10-2023 20:00""";"=""03-10-2023 21:00""";"0,46 kr."
"=""03-10-2023 21:00""";"=""03-10-2023 22:00""";"0,36 kr."
"=""03-10-2023 22:00""";"=""03-10-2023 23:00""";"0,37 kr."
"=""03-10-2023 23:00""";"=""04-10-2023 00:00""";"0,39 kr."
"=""04-10-2023 00:00""";"=""04-10-2023 01:00""";"0,22 kr."
"=""04-10-2023 01:00""";"=""04-10-2023 02:00""";"0,17 kr."
"=""04-10-2023 02:00""";"=""04-10-2023 03:00""";"0,17 kr."
"=""04-10-2023 03:00""";"=""04-10-2023 04:00""";"0,17 kr."
"=""04-10-2023 04:00""";"=""04-10-2023 05:00""";"0,14 kr."
"=""04-10-2023 05:00""";"=""04-10-2023 06:00""";"0,18 kr."
"=""04-10-2023 06:00""";"=""04-10-2023 07:00""";"0,24 kr."
"=""04-10-2023 07:00""";"=""04-10-2023 08:00""";"0,21 kr."
"=""04-10-2023 08:00""";"=""04-10-2023 09:00""";"0,23 kr."
"=""04-10-2023 09:00""";"=""04-10-2023 10:00""";"0,16 kr."
"=""04-10-2023 10:00""";"=""04-10-2023 11:00""";"0,21 kr."
"=""04-10-2023 11:00""";"=""04-10-2023 12:00""";"0,31 kr."
"=""04-10-2023 12:00""";"=""04-10-2023 13:00""";"0,19 kr."
"=""04-10-2023 13:00""";"=""04-10-2023 14:00""";"0,19 kr."
"=""04-10-2023 14:00""";"=""04-10-2023 15:00""";"0,19 kr."
"=""04-10-2023 15:00""";"=""04-10-2023 16:00""";"0,19 kr."
"=""04-10-2023 16:00""";"=""04-10-2023 17:00""";"0,19 kr."
"=""04-10-2023 17:00""";"=""04-10-2023 18:00""";"0,30 kr."
"=""04-10-2023 18:00""";"=""04-10-2023 19:00""";"0,28 kr."
"=""04-10-2023 19:00""";"=""04-10-2023 20:00""";"0,30 kr."
"=""04-10-2023 20:00""";"=""04-10-2023 21:00""";"0,33 kr."
"=""04-10-2023 21:00""";"=""04-10-2023 22:00""";"0,40 kr."
"=""04-10-2023 22:00""";"=""04-10-2023 23:00""";"0,34 kr."
"=""04-10-2023 23:00""";"=""05-10-2023 00:00""";"0,38 kr."
"=""05-10-2023 00:00""";"=""05-10-2023 01:00""";"0,28 kr."
"=""05-10-2023 01:00""";"=""05-10-2023 02:00""";"0,18 kr."
"=""05-10-2023 02:00""";"=""05-10-2023 03:00""";"0,17 kr."
"=""05-10-2023 03:00""";"=""05-10-2023 04:00""";"0,17 kr."
"=""05-10-2023 04:00""";"=""05-10-2023 05:00""";"0,13 kr."
"=""05-10-2023 05:00""";"=""05-10-2023 06:00""";"0,17 kr."
"=""05-10-2023 06:00""";"=""05-10-2023 07:00""";"0,28 kr."
"=""05-10-2023 07:00""";"=""05-10-2023 08:00""";"0,33 kr."
"=""05-10-2023 08:00""";"=""05-10-2023 09:00""";"0,32 kr."
"=""05-10-2023 09:00""";"=""05-10-2023 10:00""";"0,27 kr."
