"Fradato";"Tildato";"Forbrug i kroner"
"=""01-01-2024 00:00""";"=""01-01-2024 01:00""";"0,28 kr."
"=""01-01-2024 01:00""";"=""01-01-2024 02:00""";"0,50 kr."
"=""01-01-2024 02:00""";"=""01-01-2024 03:00""";"1,25 kr."
"=""01-01-2024 03:00""";"=""01-01-2024 04:00""";"0,78 kr."
"=""01-01-2024 04:00""";"=""01-01-2024 05:00""";"0,16 kr."
"=""01-01-2024 05:00""";"=""01-01-2024 06:00""";"0,17 kr."
"=""01-01-2024 06:00""";"=""01-01-2024 07:00""";"0,24 kr."
"=""01-01-2024 07:00""";"=""01-01-2024 08:00""";"0,27 kr."
"=""01-01-2024 08:00""";"=""01-01-2024 09:00""";"0,25 kr."
"=""01-01-2024 09:00""";"=""01-01-2024 10:00""";"0,32 kr."
"=""01-01-2024 10:00""";"=""01-01-2024 11:00""";"0,27 kr."
"=""01-01-2024 11:00""";"=""01-01-2024 12:00""";"0,82 kr."
"=""01-01-2024 12:00""";"=""01-01-2024 13:00""";"0,52 kr."
"=""01-01-2024 13:00""";"=""01-01-2024 14:00""";"0,55 kr."
"=""01-01-2024 14:00""";"=""01-01-2024 15:00""";"0,62 kr."
"=""01-01-2024 15:00""";"=""01-01-2024 16:00""";"0,54 kr."
"=""01-01-2024 16:00""";"=""01-01-2024 17:00""";"0,72 kr."
"=""01-01-2024 17:00""";"=""01-01-2024 18:00""";"1,22 kr."
"=""01-01-2024 18:00""";"=""01-01-2024 19:00""";"1,05 kr."
"=""01-01-2024 19:00""";"=""01-01-2024 20:00""";"1,06 kr."
"=""01-01-2024 20:00""";"=""01-01-2024 21:00""";"0,92 kr."
"=""01-01-2024 21:00""";"=""01-01-2024 22:00""";"0,51 kr."
"=""01-01-2024 22:00""";"=""01-01-2024 23:00""";"0,47 kr."
"=""01-01-2024 23:00""";"=""02-01-2024 00:00""";"0,43 kr."
"=""02-01-2024 00:00""";"=""02-01-2024 01:00""";"0,35 kr."
"=""02-01-2024 01:00""";"=""02-01-2024 02:00""";"0,24 kr."
"=""02-01-2024 02:00""";"=""02-01-2024 03:00""";"0,30 kr."
"=""02-01-2024 03:00""";"=""02-01-2024 04:00""";"0,19 kr."
"=""02-01-2024 04:00""";"=""02-01-2024 05:00""";"0,24 kr."
"=""02-01-2024 05:00""";"=""02-01-2024 06:00""";"0,20 kr."
"=""02-01-2024 06:00""";"=""02-01-2024 07:00""";"0,32 kr."
"=""02-01-2024 07:00""";"=""02-01-2024 08:00""";"0,29 kr."
"=""02-01-2024 08:00""";"=""02-01-2024 09:00""";"0,35 kr."
"=""02-01-2024 09:00""";"=""02-01-2024 10:00""";"0,53 kr."
"=""02-01-2024 10:00""";"=""02-01-2024 11:00""";"0,68 kr."
"=""02-01-2024 11:00""";"=""02-01-2024 12:00""";"0,67 kr."
"=""02-01-2024 12:00""";"=""02-01-2024 13:00""";"0,61 kr."
"=""02-01-2024 13:00""";"=""02-01-2024 14:00""";"0,68 kr."
"=""02-01-2024 14:00""";"=""02-01-2024 15:00""";"0,63 kr."
"=""02-01-2024 15:00""";"=""02-01-2024 16:00""";"0,73 kr."
"=""02-01-2024 16:00""";"=""02-01-2024 17:00""";"0,74 kr."
"=""02-01-2024 17:00""";"=""02-01-2024 18:00""";"0,97 kr."
"=""02-01-2024 18:00""";"=""02-01-2024 19:00""";"0,99 kr."
"=""02-01-2024 19:00""";"=""02-01-2024 20:00""";"0,93 kr."
"=""02-01-2024 20:00""";"=""02-01-2024 21:00""";"0,75 kr."
"=""02-01-2024 21:00""";"=""02-01-2024 22:00""";"0,58 kr."
"=""02-01-2024 22:00""";"=""02-01-2024 23:00""";"0,58 kr."
"=""02-01-2024 23:00""";"=""03-01-2024 00:00""";"0,39 kr."
"=""03-01-2024 00:00""";"=""03-01-2024 01:00""";"16,85 kr."
"=""03-01-2024 01:00""";"=""03-01-2024 02:00""";"16,86 kr."
"=""03-01-2024 02:00""";"=""03-01-2024 03:00""";"16,80 kr."
"=""03-01-2024 03:00""";"=""03-01-2024 04:00""";"4,71 kr."
"=""03-01-2024 04:00""";"=""03-01-2024 05:00""";"0,20 kr."
"=""03-01-2024 05:00""";"=""03-01-2024 06:00""";"0,27 kr."
"=""03-01-2024 06:00""";"=""03-01-2024 07:00""";"0,39 kr."
"=""03-01-2024 07:00""";"=""03-01-2024 08:00""";"0,46 kr."
"=""03-01-2024 08:00""";"=""03-01-2024 09:00""";"0,48 kr."
"=""03-01-2024 09:00""";"=""03-01-2024 10:00""";"0,74 kr."
"=""03-01-2024 10:00""";"=""03-01-2024 11:00""";"0,65 kr."
"=""03-01-2024 11:00""";"=""03-01-2024 12:00""";"0,50 kr."
"=""03-01-2024 12:00""";"=""03-01-2024 13:00""";"0,52 kr."
"=""03-01-2024 13:00""";"=""03-01-2024 14:00""";"0,56 kr."
"=""03-01-2024 14:00""";"=""03-01-2024 15:00""";"1,04 kr."
"=""03-01-2024 15:00""";"=""03-01-2024 16:00""";"0,54 kr."
"=""03-01-2024 16:00""";"=""03-01-2024 17:00""";"0,69 kr."
"=""03-01-2024 17:00""";"=""03-01-2024 18:00""";"3,81 kr."
"=""03-01-2024 18:00""";"=""03-01-2024 19:00""";"3,95 kr."
"=""03-01-2024 19:00""";"=""03-01-2024 20:00""";"0,90 kr."
"=""03-01-2024 20:00""";"=""03-01-2024 21:00""";"0,92 kr."
"=""03-01-2024 21:00""";"=""03-01-2024 22:00""";"0,63 kr."
"=""03-01-2024 22:00""";"=""03-01-2024 23:00""";"0,67 kr."
"=""03-01-2024 23:00""";"=""04-01-2024 00:00""";"1,95 kr."
"=""04-01-2024 00:00""";"=""04-01-2024 01:00""";"0,56 kr."
"=""04-01-2024 01:00""";"=""04-01-2024 02:00""";"1,15 kr."
"=""04-01-2024 02:00""";"=""04-01-2024 03:00""";"0,42 kr."
"=""04-01-2024 03:00""";"=""04-01-2024 04:00""";"0,38 kr."
"=""04-01-2024 04:00""";"=""04-01-2024 05:00""";"0,37 kr."
"=""04-01-2024 05:00""";"=""04-01-2024 06:00""";"0,37 kr."
"=""04-01-2024 06:00""";"=""04-01-2024 07:00""";"0,40 kr."
"=""04-01-2024 07:00""";"=""04-01-2024 08:00""";"0,42 kr."
"=""04-01-2024 08:00""";"=""04-01-2024 09:00""";"0,48 kr."
"=""04-01-2024 09:00""";"=""04-01-2024 10:00""";"0,54 kr."
"=""04-01-2024 10:00""";"=""04-01-2024 11:00""";"0,59 kr."
"=""04-01-2024 11:00""";"=""04-01-2024 12:00""";"0,58 kr."
"=""04-01-2024 12:00""";"=""04-01-2024 13:00""";"1,00 kr."
"=""04-01-2024 13:00""";"=""04-01-2024 14:00""";"0,62 kr."
"=""04-01-2024 14:00""";"=""04-01-2024 15:00""";"0,61 kr."
"=""04-01-2024 15:00""";"=""04-01-2024 16:00""";"0,60 kr."
"=""04-01-2024 16:00""";"=""04-01-2024 17:00""";"0,70 kr."
"=""04-01-2024 17:00""";"=""04-01-2024 18:00""";"1,23 kr."
"=""04-01-2024 18:00""";"=""04-01-2024 19:00""";"1,11 kr."
"=""04-01-2024 19:00""";"=""04-01-2024 20:00""";"1,02 kr."
"=""04-01-2024 20:00""";"=""04-01-2024 21:00""";"1,00 kr."
"=""04-01-2024 21:00""";"=""04-01-2024 22:00""";"0,74 kr."
"=""04-01-2024 22:00""";"=""04-01-2024 23:00""";"0,72 kr."
"=""04-01-2024 23:00""";"=""05-01-2024 00:00""";"0,53 kr."
"=""05-01-2024 00:00""";"=""05-01-2024 01:00""";"0,44 kr."
"=""05-01-2024 01:00""";"=""05-01-2024 02:00""";"0,35 kr."
"=""05-01-2024 02:00""";"=""05-01-2024 03:00""";"0,26 kr."
"=""05-01-2024 03:00""";"=""05-01-2024 04:00""";"0,26 kr."
"=""05-01-2024 04:00""";"=""05-01-2024 05:00""";"0,26 kr."
"=""05-01-2024 05:00""";"=""05-01-2024 06:00""";"0,29 kr."
"=""05-01-2024 06:00""";"=""05-01-2024 07:00""";"0,38 kr."
"=""05-01-2024 07:00""";"=""05-01-2024 08:00""";"0,49 kr."
"=""05-01-2024 08:00""";"=""05-01-2024 09:00""";"0,81 kr."
"=""05-01-2024 09:00""";"=""05-01-2024 10:00""";"0,84 kr."
"=""05-01-2024 10:00""";"=""05-01-2024 11:00""";"0,53 kr."
"=""05-01-2024 11:00""";"=""05-01-2024 12:00""";"6,04 kr."
"=""05-01-2024 12:00""";"=""05-01-2024 13:00""";"7,04 kr."
"=""05-01-2024 13:00""";"=""05-01-2024 14:00""";"1,52 kr."
"=""05-01-2024 14:00""";"=""05-01-2024 15:00""";"0,99 kr."
"=""05-01-2024 15:00""";"=""05-01-2024 16:00""";"2,07 kr."
"=""05-01-2024 16:00""";"=""05-01-2024 17:00""";"2,88 kr."
"=""05-01-2024 17:00""";"=""05-01-2024 18:00""";"10,82 kr."
